year,month,date,profile_count
2024,1,20240101,14
2024,1,20240107,11
2024,1,20240111,14
2024,1,20240121,14
2024,1,20240131,15
2024,2,20240201,13
2024,2,20240210,16
2024,2,20240216,13
2024,2,20240220,14
2024,2,20240221,14
2024,3,20240302,16
2024,3,20240307,14
2024,3,20240312,16
2024,3,20240317,15
2024,3,20240322,19
2024,8,20240804,13
2024,8,20240809,12
2024,8,20240814,13
2024,8,20240824,12
2024,8,20240830,13
2024,9,20240904,15
2024,9,20240909,13
2024,9,20240914,12
2024,9,20240920,11
2024,9,20240925,11
2024,10,20241003,9
2024,10,20241004,9
2024,10,20241005,10
2024,10,20241009,9
2024,10,20241016,10
